"subarea_id","subarea_desc","area_id"
"4-11-G","RIBBLE / DOUGLAS","4-11"
"1-1-Y","UNKNOWN (CENTRAL)","1-1"
"1-1-S","BRAMPTON TEAM SUB AREA","1-1"
"1-1-O","ELY TEAM SUB AREA","1-1"
"1-1-A","ALL CENTRAL SUB AREAS","1-1"
"1-1-9","ECMAS SAMPLING (CENTRAL)","1-1"
"10-39-K","L&W WEST - SSD|L&W WEST HAMPSHIRE - SSD","10-39"
"6-28-Z","WESSEX DEFAULT","6-28"
"6-28-A","ALL SUB AREAS","6-28"
"6-28-9","ECMAS SAMPLING (WESSEX)","6-28"
"6-28-2","EAST WESSEX","6-28"
"6-28-1","WEST WESSEX","6-28"
"1-2-9","ECMAS SAMPLING (EASTERN)","1-2"
"2-29-C","AVON & LOWER SEVERN (5)","2-29"
"2-29-B","UPPER TRENT AND TAME","2-29"
"2-29-A","ALL SUB AREAS SWWM","2-29"
"2-29-0","SWWM AREA DEFAULT","2-29"
"3-34-V","SWALE, URE, NIDD, OUSE","3-34"
"4-12-L","MANCHESTER","4-12"
"10-38-E","L&W SOUTH LONDON - KSL","10-38"
"R-B","NORTH CUMBRIA (R)","R"
"R-S","Marine","R"
"6-27-A","ALL CORNWALL AREAS","6-27"
"10-37-N","L&W NORTH - WT","10-37"
"10-37-L","L&W SOUTH - WT","10-37"
"10-37-A","ALL SUB-AREAS -WT","10-37"
"10-37-9","ECMAS SAMPLING (WEST THAMES)","10-37"
"3-35-9","ECMAS SAMPLING (NORTH EAST AREA)","3-35"
"2-30-D","LEICESTER AND SOUTH NOTTINGHAMSHIRE","2-30"
"2-30-C","DERBYSHIRE, DERWENT AND EREWASH","2-30"
"2-30-B","DUKERIES AND THE TRENT","2-30"
"2-30-A","ALL SUB AREAS EAST","2-30"
"2-30-0","EAST AREA DEFAULT","2-30"
"3-35-Z","UNKNOWN-NORTH EAST AREA","3-35"
"3-35-I","WEAR & TEES","3-35"
"3-35-H","NORTHUMBERLAND & TYNE","3-35"
"3-35-G","MARINE - NORTH EAST AREA","3-35"
"3-35-F","GROUNDWATER - NORTH EAST AREA","3-35"
"3-35-A","ALL SUB AREAS - NORTH EAST AREA","3-35"
"10-39-9","ECMAS SAMPLING (SOLENT AND SOUTH DOWNS)","10-39"
"1-3-Z","UNKNOWN (NORTHERN)","1-3"
"3-34-9","ECMAS SAMPLING (YORKSHIRE AREA)","3-34"
"10-39-J","L&W EAST - SSD","10-39"
"6-27-Z","DEVON AND CORNWALL DEFAULT","6-27"
"6-27-9","ECMAS SAMPLING (DEVON AND CORNWALL)","6-27"
"6-27-3","EAST DEVON AND CORNWALL","6-27"
"6-27-2","CENTRAL DEVON AND CORNWALL","6-27"
"6-27-1","WEST DEVON AND CORNWALL","6-27"
"R-M","MERSEYSIDE (R)","R"
"10-38-9","ECMAS SAMPLING (KENT AND SOUTH LONDON)","10-38"
"1-3-C","NORTH & SOUTH TEAM SUB AREA","1-3"
"R-G","RIBBLE / DOUGLAS (R)","R"
"3-34-U","ESK, DERWENT, HULL","3-34"
"10-38-D","L&W MEDWAY AND ROTHER - KSL","10-38"
"R-A","ALL SUB AREAS","R"
"R-R","ALL AREAS","R"
"10-36-O","L&W HERTS & NORTH LONDON","10-36"
"10-36-A","ALL SUB-AREAS - NET","10-36"
"2-31-9","ECMAS SAMPLING (SHWG)","2-31"
"3-34-S","AIRE, CALDER, WHARFE","3-34"
"3-34-M","GROUNDWATER - YORKSHIRE AREA","3-34"
"3-34-A","ALL SUB AREAS - YORKSHIRE AREA","3-34"
"3-34-Z","UNKNOWN-YORKSHIRE AREA","3-34"
"3-34-T","DON, ROTHER","3-34"
"3-34-H","H&T BOREHOLE DIP SITE","3-34"
"3-34-N","MARINE - YORKSHIRE AREA","3-34"
"R-L","MANCHESTER (R)","R"
"10-39-Z","SOLENT & SOUTH DOWNS DEFAULT - SUB AREA UNKNOWN","10-39"
"1-2-H","NORFOLK & SUFFOLK TEAM SUB AREA","1-2"
"4-12-P","CHESHIRE","4-12"
"10-38-Z","KENT & SOUTH LONDON DEFAULT - SUB AREA UNKNOWN","10-38"
"R-D","South Cumbria (R)","R"
"R-E","LUNE / WYRE (R)","R"
"R-W","UNKNOWN REGIONAL","R"
"R-Z","SUB AREA UNKNOWN","R"
"R-9","ECMAS SAMPLING (REGIONAL)","R"
"R-P","CHESHIRE (R)","R"
"4-12-9","ECMAS SAMPLING (GTR MANCS MERSEY AND CHES)","4-12"
"10-38-C","L&W EAST KENT AND STOUR - KSL","10-38"
"4-11-9","ECMAS SAMPLING (CUMBRIA AND LANCASHIRE)","4-11"
"4-12-Z","Unknown","4-12"
"4-12-M","MERSEYSIDE","4-12"
"1-2-M","ESSEX TEAM SUB AREA","1-2"
"4-11-D","MORECOMBE BAY","4-11"
"10-39-H","L&W SOUTH - SSD","10-39"
"1-2-X","UNKNOWN (EASTERN)","1-2"
"1-3-A","ALL NORTHERN SUB AREAS","1-3"
"2-31-C","AVON & LOWER SEVERN (4)","2-31"
"1-2-A","ALL EASTERN SUB AREAS","1-2"
"1-3-9","ECMAS SAMPLING (NORTHERN)","1-3"
"4-11-Z","Unknown","4-11"
"4-11-B","NORTH CUMBRIA","4-11"
"2-31-B","SHROPSHIRE & WYE","2-31"
"10-38-A","ALL SUB-AREAS - KSL","10-38"
"2-31-0","SHWG AREA DEFAULT","2-31"
"2-31-A","ALL SUB AREAS SHWG","2-31"
